n,confound_strength,p01,p10,estimator,mean_estimate,bias,variance,rmse,n_seeds,delta
2000,0.25,0.1,0.30000000000000004,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,-0.20000000000000004
2000,0.25,0.1,0.30000000000000004,rate,1.1003273675606617,0.10032736756066174,0.0010960501080309745,0.10563132721557078,300,-0.20000000000000004
2000,0.25,0.1,0.30000000000000004,single_rewrite,0.9990073607341907,-0.0009926392658092809,0.0011319543729982444,0.033603073140219535,300,-0.20000000000000004
2000,0.25,0.15000000000000002,0.25,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,-0.09999999999999998
2000,0.25,0.15000000000000002,0.25,rate,1.0500390342273282,0.05003903422732825,0.0010965999511500081,0.05997374062356996,300,-0.09999999999999998
2000,0.25,0.15000000000000002,0.25,single_rewrite,0.9738590274008573,-0.02614097259914272,0.0011189183559036145,0.042409186227511254,300,-0.09999999999999998
2000,0.25,0.2,0.2,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,0.0
2000,0.25,0.2,0.2,rate,1.000173200893995,0.00017320089399497363,0.0011119989205642224,0.03329147422457221,300,0.0
2000,0.25,0.2,0.2,single_rewrite,0.9487740274008574,-0.05122597259914263,0.0011362399546438787,0.061290723252842384,300,0.0
2000,0.25,0.25,0.15000000000000002,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,0.09999999999999998
2000,0.25,0.25,0.15000000000000002,rate,0.950505700893995,-0.049494299106005,0.0011263289880208366,0.059768387982740936,300,0.09999999999999998
2000,0.25,0.25,0.15000000000000002,single_rewrite,0.9240381940675241,-0.07596180593247592,0.0011354526163815102,0.08307745623723714,300,0.09999999999999998
2000,0.25,0.30000000000000004,0.09999999999999998,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,0.20000000000000007
2000,0.25,0.30000000000000004,0.09999999999999998,rate,0.9006640342273283,-0.09933596577267167,0.0011099889688568373,0.10475649431713867,300,0.20000000000000007
2000,0.25,0.30000000000000004,0.09999999999999998,single_rewrite,0.8990931940675241,-0.10090680593247592,0.0011255259500764193,0.1063200718604153,300,0.20000000000000007
2000,0.25,0.35000000000000003,0.04999999999999999,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,0.30000000000000004
2000,0.25,0.35000000000000003,0.04999999999999999,rate,0.8504973675606617,-0.14950263243933826,0.0011248742261043949,0.1532062719070032,300,0.30000000000000004
2000,0.25,0.35000000000000003,0.04999999999999999,single_rewrite,0.8741565274008573,-0.12584347259914275,0.0011194453402138733,0.13020097331263566,300,0.30000000000000004
2000,0.25,0.4,0.0,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,0.4
2000,0.25,0.4,0.0,rate,0.800788200893995,-0.19921179910600495,0.001105163494153405,0.20195747205511075,300,0.4
2000,0.25,0.4,0.0,single_rewrite,0.8492973607341906,-0.1507026392658094,0.0011132562123579947,0.1543399845794908,300,0.4
2000,0.5,0.0,0.4,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,-0.4
2000,0.5,0.0,0.4,rate,1.200603200893995,0.20060320089399508,0.001089970705613658,0.20329284709218082,300,-0.4
2000,0.5,0.0,0.4,single_rewrite,1.0242515274008575,0.024251527400857453,0.001123646349082415,0.04132840962977736,300,-0.4
2000,0.5,0.04999999999999999,0.35000000000000003,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,-0.30000000000000004
2000,0.5,0.04999999999999999,0.35000000000000003,rate,1.1505048675606617,0.15050486756066173,0.0011035927258541073,0.15411563594550332,300,-0.30000000000000004
2000,0.5,0.04999999999999999,0.35000000000000003,single_rewrite,0.9991048607341907,-0.0008951392658093082,0.0011271849500718324,0.03352952342652844,300,-0.30000000000000004
2000,0.5,0.1,0.30000000000000004,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,-0.20000000000000004
2000,0.5,0.1,0.30000000000000004,rate,1.1003273675606617,0.10032736756066174,0.0010960501080309745,0.10563132721557078,300,-0.20000000000000004
